&quot;id&quot;;&quot;title&quot;;&quot;title_url&quot;;&quot;claim&quot;;&quot;datestart&quot;;&quot;dateend&quot;;&quot;country&quot;;&quot;loc_name&quot;;&quot;place&quot;;&quot;geo_lat&quot;;&quot;geo_long&quot;
&quot;381&quot;;&quot;The Computer Crossroad 1993&quot;;&quot;computercrossroad93&quot;;NULL;&quot;1993-05-29&quot;;&quot;1993-05-31&quot;;&quot;SE&quot;;&quot;Svenska Mässan&quot;;&quot;Gothenburg&quot;;&quot;57.7166667&quot;;&quot;11.9666667&quot;
&quot;690&quot;;&quot;Southern Party 93&quot;;&quot;southernparty1993&quot;;NULL;&quot;1993-07-24&quot;;&quot;1993-07-25&quot;;&quot;ES&quot;;&quot;unknown&quot;;&quot;San Fernando&quot;;&quot;36.4666667&quot;;&quot;-6.2&quot;
&quot;433&quot;;&quot;Assembly 1993&quot;;&quot;assembly1993&quot;;&quot;THE SECOND PHASE - BE THERE OR BE ELSEWHERE!&quot;;&quot;1993-07-30&quot;;&quot;1993-08-01&quot;;&quot;FI&quot;;&quot;Nikkarin yl„aste&quot;;&quot;Kerava&quot;;&quot;60.4&quot;;&quot;25.1166667&quot;
&quot;333&quot;;&quot;Somewhere in Holland 1993&quot;;&quot;sih1993&quot;;NULL;&quot;1993-08-14&quot;;&quot;1993-08-15&quot;;&quot;NL&quot;;&quot;Kolpinghuis&quot;;&quot;Nijmegen&quot;;&quot;51.8333333&quot;;&quot;5.8666667&quot;
&quot;446&quot;;&quot;Aggressive Party 1993&quot;;&quot;aggressiveparty1993&quot;;NULL;&quot;1993-10-08&quot;;&quot;1993-10-10&quot;;&quot;FI&quot;;&quot;Planet FunFun&quot;;&quot;Kerava&quot;;&quot;60.4&quot;;&quot;25.1166667&quot;
&quot;315&quot;;&quot;Bizarre 1994&quot;;&quot;bizarre1994&quot;;NULL;&quot;1994-05-07&quot;;&quot;1994-05-08&quot;;&quot;NL&quot;;&quot;Kolpinghuis&quot;;&quot;Nijmegen&quot;;&quot;51.8333333&quot;;&quot;5.8666667&quot;
&quot;447&quot;;&quot;Abduction 1994&quot;;&quot;abduction1994&quot;;NULL;&quot;1994-06-11&quot;;&quot;1994-06-12&quot;;&quot;FI&quot;;&quot;Korkalovaara's High School&quot;;&quot;Rovaniemi&quot;;&quot;66.5&quot;;&quot;25.7166667&quot;
&quot;432&quot;;&quot;Assembly 1994&quot;;&quot;assembly1994&quot;;NULL;&quot;1994-08-05&quot;;&quot;1994-08-07&quot;;&quot;FI&quot;;&quot;Ice Hockey Hall&quot;;&quot;Helsinki&quot;;&quot;60.1755556&quot;;&quot;24.9341667&quot;
&quot;688&quot;;&quot;Euskal Amiga Party 1&quot;;&quot;euskalamiga1&quot;;NULL;&quot;1994-08-06&quot;;&quot;1994-08-06&quot;;&quot;ES&quot;;&quot;Frontón Municipal Ederrena Urretxu&quot;;&quot;Urretxu, Guipúzcoa&quot;;&quot;43.0833333&quot;;&quot;-2.3166667&quot;
&quot;448&quot;;&quot;Nordic Line Meeting '94&quot;;&quot;nordicline1994&quot;;NULL;&quot;1994-11-12&quot;;&quot;1994-11-13&quot;;&quot;FI&quot;;&quot;unknown&quot;;&quot;Pori&quot;;&quot;61.4833333&quot;;&quot;21.7833333&quot;
&quot;492&quot;;&quot;The Party 4&quot;;&quot;theparty4&quot;;&quot;Don't try this at home&quot;;&quot;1994-12-27&quot;;&quot;1994-12-30&quot;;&quot;DK&quot;;&quot;Messecenter&quot;;&quot;Herning&quot;;&quot;56.1333333&quot;;&quot;8.9833333&quot;
&quot;687&quot;;&quot;Euskal Amiga Party 2&quot;;&quot;euskalamiga2&quot;;NULL;&quot;1994-12-27&quot;;&quot;1994-12-29&quot;;&quot;ES&quot;;&quot;Polideportivo Bikuña Legazpi&quot;;&quot;Legazpi, Guipúzcoa&quot;;&quot;43.05&quot;;&quot;-2.3333333&quot;
&quot;683&quot;;&quot;Fallas Party 1995&quot;;&quot;fallasparty1995&quot;;NULL;&quot;1995-03-24&quot;;&quot;1995-03-26&quot;;&quot;ES&quot;;&quot;Institute San Vicente Ferrer&quot;;&quot;Valencia&quot;;&quot;39.46348248824&quot;;&quot;-0.36838531494141&quot;
&quot;466&quot;;&quot;BlackBox Symposium 1995&quot;;&quot;blackboxsymposium95&quot;;NULL;&quot;1995-04-22&quot;;&quot;1995-04-23&quot;;&quot;DE&quot;;&quot;St.Marien-Gemeindezentrum&quot;;&quot;Hamburg-Harburg&quot;;&quot;53.4666667&quot;;&quot;9.9833333&quot;
&quot;236&quot;;&quot;Nexus 1995&quot;;&quot;nexus1995&quot;;NULL;&quot;1995-05-20&quot;;&quot;1995-05-20&quot;;&quot;DE&quot;;&quot;Stadthalle Düren&quot;;&quot;Düren, NRW&quot;;&quot;50.8&quot;;&quot;6.4833333&quot;
&quot;421&quot;;&quot;Abduction 95&quot;;&quot;abduction1995&quot;;NULL;&quot;1995-06-09&quot;;&quot;1995-06-11&quot;;&quot;FI&quot;;&quot;Korkalovaara's High School&quot;;&quot;Rovaniemi&quot;;&quot;66.5&quot;;&quot;25.7166667&quot;
